,0
0,group_33
1,group_1573
2,group_227
3,group_2033
4,group_1853
5,group_926
6,group_10
7,group_347
8,group_2082
9,group_59
10,group_738
11,group_105
12,group_2099
13,group_1929
14,group_387
15,group_116
16,group_364
17,group_529
18,group_269
19,group_1606
20,group_557
21,group_3128
22,group_3608
23,group_1608
24,group_454
25,group_1923
26,group_2446
27,group_192
28,group_2661
29,group_2693
30,dam
31,group_2631
32,group_353
33,group_2450
34,group_2725
35,group_2787
36,group_2696
37,group_2847
38,group_3362
39,group_3376
40,group_2625
41,group_2615
42,group_2325
43,group_2602
44,group_360
45,group_489
46,group_642
47,group_657
48,group_900
49,group_906
50,group_2599
51,group_956
52,group_2569
53,group_980
54,group_2551
55,group_2412
56,group_3025
57,group_1705
58,group_2783
59,group_356
60,group_644
61,group_659
62,group_911
63,group_2833
64,group_2795
65,group_964
66,group_991
67,group_998
68,group_1005
69,group_279
70,group_1011
71,group_1088
72,group_3063
73,group_1530
74,group_1559
75,group_1047
76,pilE_10
77,group_1581
78,group_1582
79,group_1585
80,group_2782
81,group_278
82,group_1591
83,group_1610
84,group_1632
85,group_1683
86,group_1594
87,group_1500
88,group_995
89,pilE1_6
90,group_1004
91,group_1003
92,group_1001
93,group_1000
94,group_996
95,group_994
96,group_649
97,group_993
98,group_979
99,group_972
100,group_962
101,group_660
102,group_655
103,group_1010
104,group_1450
105,group_1461
106,group_1463
107,group_1472
108,group_1546
109,group_1548
110,group_1572
111,group_1577
112,group_1586
113,group_1590
114,group_1598
115,group_1599
116,group_1602
117,group_1607
118,group_1609
119,group_1618
