"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1024","","Phosphoribosyl transferase domain protein","269","28","29","93","90.26845637583892","76.85950413223141","30.809113300492612","1.492311174667487e-41","5.254427646004222e-38","1.7514758820014076e-38","14","13","4","0.0018310546875","0.1795654296875"
"group_1706","","hypothetical protein","269","28","29","93","90.26845637583892","76.85950413223141","30.809113300492612","1.492311174667487e-41","5.254427646004222e-38","1.7514758820014076e-38","14","13","4","0.0018310546875","0.1795654296875"
"group_1483","","hypothetical protein","29","93","269","28","9.731543624161073","23.140495867768596","0.03245792860854619","1.492311174667487e-41","5.254427646004222e-38","1.7514758820014076e-38","14","4","13","0.0018310546875","0.1795654296875"
"group_2315","","hypothetical protein","51","97","247","24","17.114093959731544","19.834710743801654","0.051087274093242624","2.4642256266330716e-34","8.676538431375046e-31","2.1691346078437614e-31","16","5","13","0.021270751953125","0.210113525390625"
"group_2283","","hypothetical protein","38","87","260","34","12.751677852348994","28.09917355371901","0.05711759504862953","6.94433606149757e-32","2.4451007272532944e-28","4.8902014545065886e-29","10","5","6","0.75390625","1.0"
"group_2316","","Peptidase S24-like protein","58","97","240","24","19.463087248322147","19.834710743801654","0.05979381443298969","1.5939404346359175e-31","5.612264270353066e-28","9.029041338205533e-29","16","6","12","0.076812744140625","0.454498291015625"
"group_410","","DNA methylase","296","67","2","54","99.32885906040269","44.62809917355372","119.28358208955224","2.0514720450339183e-31","7.223233070564426e-28","9.029041338205533e-29","9","9","1","0.00390625","0.0390625"
"group_789","","Endonuclease domain protein","296","67","2","54","99.32885906040269","44.62809917355372","119.28358208955224","2.0514720450339183e-31","7.223233070564426e-28","9.029041338205533e-29","9","9","1","0.00390625","0.0390625"
"group_948","","AAA ATPase domain protein","10","62","288","59","3.3557046979865772","48.760330578512395","0.033042114695340505","1.5868593486259156e-29","5.587331766511848e-26","5.079392515010772e-27","12","4","9","0.14599609375","0.3876953125"
"aplIM_2","","Modification methylase AplI","288","59","10","62","96.64429530201343","51.2396694214876","30.264406779661016","1.5868593486259158e-29","5.587331766511849e-26","5.079392515010772e-27","12","9","4","0.14599609375","0.3876953125"
"group_1735","","Eco29kI restriction endonuclease","288","59","10","62","96.64429530201343","51.2396694214876","30.264406779661016","1.5868593486259158e-29","5.587331766511849e-26","5.079392515010772e-27","12","9","4","0.14599609375","0.3876953125"
"group_2004","","hypothetical protein","41","85","257","36","13.758389261744966","29.75206611570248","0.06756694895857175","4.852877578947417e-29","1.7086981955473856e-25","1.4239151629561546e-26","13","6","10","0.09228515625","1.0"
"group_357","","hypothetical protein","101","110","197","11","33.89261744966443","9.090909090909092","0.051269035532994923","1.0498320138759233e-28","3.6964585208571257e-25","2.843429631428558e-26","16","6","12","0.076812744140625","0.454498291015625"
"group_1163","","hypothetical protein","278","52","20","69","93.28859060402685","57.02479338842975","18.44423076923077","6.71321322169291e-28","2.3637223753580736e-24","1.6883731252557669e-25","13","8","8","0.5810546875","0.5810546875"
"group_181","","SIR2-like domain protein","253","36","45","85","84.8993288590604","70.24793388429752","13.274691358024691","2.2014336395389876e-27","7.751247844816776e-24","5.167498563211184e-25","14","10","8","0.1795654296875","0.79052734375"
"group_2249","","hypothetical protein","135","116","163","5","45.302013422818796","4.132231404958678","0.0356991749524011","1.7691712610699149e-25","6.22925201022717e-22","3.8932825063919815e-23","5","1","5","0.0625","0.375"
"group_910","","hypothetical protein","80","98","218","23","26.845637583892618","19.00826446280992","0.08612619359670473","9.250552554390156e-25","3.257119554400774e-21","1.9159526790592788e-22","11","7","7","0.548828125","0.548828125"
"epsD","","Putative glycosyltransferase EpsD","131","113","167","8","43.95973154362416","6.6115702479338845","0.055534947803508025","2.6337078240463703e-23","9.27328524846727e-20","4.880676446561721e-21","11","3","8","0.2265625","0.2265625"
"group_47","","Glycosyl transferases group 1","131","113","167","8","43.95973154362416","6.6115702479338845","0.055534947803508025","2.6337078240463703e-23","9.27328524846727e-20","4.880676446561721e-21","11","3","8","0.2265625","0.2265625"
"group_1528","","hypothetical protein","29","68","269","53","9.731543624161073","43.80165289256198","0.08402580363000219","9.741904938347789e-23","3.430124728792257e-19","1.7150623643961284e-20","15","7","12","0.03515625","1.0"
"group_2139","","hypothetical protein","139","3","159","118","46.644295302013425","97.52066115702479","34.38574423480084","3.1896007633747666e-22","1.1230584287842553e-18","4.882862733844588e-20","11","9","2","0.0654296875","0.0654296875"
"cvaA_2","","Colicin V secretion protein CvaA","139","3","159","118","46.644295302013425","97.52066115702479","34.38574423480084","3.1896007633747666e-22","1.1230584287842553e-18","4.882862733844588e-20","11","9","2","0.0654296875","0.0654296875"
"apxIB_2","","Toxin RTX-I translocation ATP-binding protein","139","3","159","118","46.644295302013425","97.52066115702479","34.38574423480084","3.1896007633747666e-22","1.1230584287842553e-18","4.882862733844588e-20","11","9","2","0.0654296875","0.0654296875"
"group_901","","hypothetical protein","25","64","273","57","8.389261744966444","47.107438016528924","0.08155906593406594","4.656373925386483e-22","1.6395092591285807e-18","6.83128857970242e-20","14","5","12","0.012939453125","0.4239501953125"
"group_2140","","hypothetical protein","138","3","160","118","46.308724832214764","97.52066115702479","33.925","6.961192006217509e-22","2.451035705389185e-18","9.804142821556739e-20","11","9","2","0.0654296875","0.0654296875"
"group_2627","","Cysteine-rich CPCC","282","65","16","56","94.63087248322147","46.28099173553719","15.184615384615384","1.1468292864421175e-21","4.037985917562695e-18","1.5530715067548827e-19","12","8","6","0.3876953125","1.0"
"group_2142","","hypothetical protein","135","3","163","118","45.302013422818796","97.52066115702479","32.576687116564415","4.3757861250402186e-21","1.540714294626661e-17","5.706349239358004e-19","11","9","2","0.0654296875","0.0654296875"
"group_2519","","hypothetical protein","12","49","286","72","4.026845637583892","59.50413223140496","0.06165263308120451","1.0529762623134486e-19","3.7075294196056525e-16","1.3241176498591617e-17","10","4","7","0.34375","0.75390625"
"group_915","","NgoFVII restriction endonuclease","145","112","153","9","48.65771812080537","7.43801652892562","0.07615546218487394","3.5052316629195665e-19","1.2341920685139794e-15","4.255834719013722e-17","13","4","9","0.266845703125","0.266845703125"
"group_1860","","Type-1V conjugative transfer system mating pair stabilisation","163","116","135","5","54.69798657718121","4.132231404958678","0.0520434227330779","4.612468236288652e-19","1.6240500659972344e-15","5.413500219990781e-17","2","1","2","0.5","1.0"
"group_2052","","hypothetical protein","152","9","146","112","51.006711409395976","92.56198347107438","12.955859969558599","8.373003785275087e-19","2.9481346327953582e-15","5.655958055990798e-17","13","9","4","0.266845703125","0.266845703125"
"group_437","","AAA domain, putative AbiEii toxin, Type IV TA system","152","9","146","112","51.006711409395976","92.56198347107438","12.955859969558599","8.373003785275087e-19","2.9481346327953582e-15","5.655958055990798e-17","13","9","4","0.266845703125","0.266845703125"
"group_1187","","F plasmid transfer operon protein","164","116","134","5","55.033557046979865","4.132231404958678","0.05275347400926402","9.47993664957947e-19","3.337885694316931e-15","5.655958055990798e-17","2","1","2","0.5","1.0"
