,0
0,group_1644
1,group_1929
2,group_2335
3,group_2779
4,group_473
5,group_1533
6,group_33
7,group_996
8,group_887
9,group_913
10,group_364
11,group_2005
12,group_3128
13,group_126
14,group_2576
15,pilE_4
16,group_1606
17,mafA1
18,group_514
19,group_949
20,group_2666
21,group_2532
22,group_461
23,group_2490
24,group_243
25,group_484
26,group_3816
27,group_3527
28,lagD_1
29,group_2516
30,group_1801
31,group_144
32,group_1537
33,group_633
34,group_618
35,group_2316
36,group_1451
37,group_969
38,group_2523
39,group_1859
40,group_53
41,group_2383
42,group_347
43,group_3062
44,group_1675
45,group_276
46,group_3530
47,group_2505
48,aidA-I
49,group_20
50,group_590
51,group_2569
52,group_183
53,group_1945
54,tufA
55,group_2040
56,group_412
57,group_1602
58,group_2011
59,group_926
60,pilE1_2
61,group_3125
62,group_454
63,group_1462
64,group_1610
65,group_98
66,piiC_1
67,group_1905
68,group_3216
69,group_545
70,group_914
71,group_625
72,cas1
73,group_529
74,comEA
75,nosD_2
76,pilE_6
77,group_31
78,group_1912
79,group_987
80,group_2432
81,group_223
82,copA_1
83,group_279
84,group_2410
85,group_108
86,group_3523
87,group_925
88,group_3687
89,group_224
90,group_1512
91,group_2447
92,group_1025
93,group_556
94,group_1135
95,group_3515
96,group_955
97,rusA
98,group_95
99,group_2317
100,group_1010
101,group_1758
102,group_2307
103,group_387
104,group_922
105,group_59
106,group_2836
107,group_1446
108,pilE1_6
109,group_48
110,group_3615
111,group_3078
112,group_481
113,group_1977
114,group_1877
115,group_1479
116,group_632
117,group_1530
118,group_1448
119,group_1125
120,group_2445
121,group_606
122,group_829
123,group_2456
124,group_1918
125,group_3526
126,group_1847
127,group_3804
128,group_1611
129,group_1607
130,group_978
131,group_2380
132,group_478
133,group_1403
134,group_2306
135,group_3159
136,group_2268
137,group_650
138,group_901
139,group_185
140,group_3019
141,group_2413
142,dnaC_1
143,group_459
144,group_1383
145,group_2283
146,group_2110
147,group_2418
148,group_12
149,rlmD
150,group_11
151,group_638
152,group_475
153,group_242
154,group_2847
155,group_1656
156,group_176
157,pilE_8
158,group_15
159,group_3080
160,group_3388
161,group_3815
162,group_1608
163,group_222
164,group_3524
165,group_899
166,group_2325
167,group_244
168,group_2510
169,group_121
170,group_1853
171,group_333
172,group_102
173,group_1441
174,group_2547
175,group_3525
176,group_1455
177,group_3805
178,group_1615
179,group_281
180,group_1907
181,group_8
182,group_3202
183,group_3522
184,fimA
185,group_619
186,rplP
187,group_451
188,group_38
189,group_2384
190,group_1405
191,group_2414
192,group_2142
193,group_42
194,group_1680
195,group_2266
