,0
0,group_887
1,group_556
2,group_33
3,group_1352
4,group_1533
5,comEA
6,group_2283
7,group_1906
8,group_1801
9,group_42
10,group_1451
11,group_20
12,group_2410
13,group_2532
14,pilE_8
15,group_144
16,group_949
17,group_1438
18,pilE_4
19,group_633
20,group_632
21,group_2523
22,group_1479
23,group_347
24,group_590
25,group_955
26,group_1945
27,group_926
28,group_1710
29,group_364
30,group_1376
31,group_2005
32,group_1496
33,group_545
34,group_243
35,group_2249
36,group_2101
37,group_529
38,group_557
39,gspA
40,group_412
41,group_132
42,dnaC_1
43,cvaA_2
44,group_913
45,pilE1_2
46,group_27
47,group_969
48,group_1485
49,cdiA_1
50,mbeA
51,copA_1
52,group_2140
53,group_1526
54,fimA
55,group_1853
56,group_2380
57,group_1125
58,piiC_1
59,group_2260
60,group_53
61,group_1877
62,group_1462
63,apxIB_2
64,group_176
65,group_38
66,group_1025
67,group_1847
68,group_910
69,group_224
70,group_74
71,group_93
72,group_79
73,group_1919
74,group_2456
75,rocG
76,group_453
77,group_1886
78,group_1330
79,group_8
80,group_901
81,group_2316
82,group_2447
83,group_1405
84,group_1923
85,group_1909
86,group_1329
87,group_1501
88,group_2439
89,group_1403
90,group_1135
91,group_914
92,group_95
93,mafA1
94,nosD_2
95,group_223
96,group_31
97,pilE_6
98,group_2383
99,group_2384
100,group_2505
101,hprA
102,group_2040
103,group_2013
104,group_1506
105,group_1122
106,group_434
107,group_1482
108,group_1905
109,group_112
110,group_984
111,group_150
112,group_105
113,porB
114,group_1907
115,cycA
116,rlmD
117,rusA
118,group_1737
119,group_1606
120,group_1328
121,group_244
122,rplP
123,group_2449
124,group_1136
125,group_272
126,group_48
127,group_607
128,group_11
129,group_333
130,group_62
131,group_2406
132,group_102
133,group_103
134,group_738
135,group_55
136,group_625
137,group_15
138,group_270
139,cas1
140,group_618
141,ggt_2
142,pilY1_1
143,group_1541
144,group_1912
145,group_65
146,group_12
147,vapD_2
148,group_2393
149,group_1448
150,group_2519
151,group_1488
152,group_606
153,group_141
154,group_97
155,group_2033
156,group_227
157,group_1208
158,group_388
159,group_387
160,group_1977
161,group_1885
162,group_96
163,group_2044
164,speE_1
165,group_1483
166,group_454
167,group_1528
168,adhA
169,group_1145
170,lagD_2
171,group_18
172,group_516
173,group_613
174,group_1859
175,group_1024
176,group_10
177,mafA1_2
178,group_588
179,group_636
180,group_226
181,group_2513
182,group_2511
183,group_829
184,group_514
185,group_350
186,group_116
187,tufA
188,group_2317
189,group_2160
190,group_1929
191,group_435
192,group_182
193,tbpB_2
194,group_922
195,group_2287
196,group_714
197,group_357
198,group_98
199,group_1127
200,group_1383
201,mshD
202,group_1706
203,group_153
204,group_2414
205,group_195
206,group_1948
207,group_1918
208,leuC
209,group_623
210,group_1916
211,group_170
212,group_486
213,group_321
214,group_349
215,group_257
216,group_459
217,group_1608
218,group_1126
219,group_455
220,group_948
221,mepH_2
222,group_451
223,group_311
224,group_439
225,group_281
226,group_2099
227,group_2104
228,pilE_2
229,group_448
230,group_225
231,group_44
232,group_108
233,group_2744
234,prmC_2
235,group_2531
236,group_70
237,group_515
238,group_1911
239,group_146
240,group_361
241,group_546
242,rnr
243,pilE_7
244,group_621
245,group_630
246,mobA_2
247,group_2486
248,group_460
249,group_2530
250,group_111
251,group_344
252,dnaC_2
253,group_2442
254,group_59
255,group_1460
256,tetM
257,group_1512
258,ssbB
259,group_912
260,group_1764
261,group_2142
262,group_800
263,penA
264,group_222
265,group_1163
266,group_2666
267,group_2785
268,group_1497
269,tbpB_1
270,group_1858
271,group_2437
272,group_2110
273,dapA
274,group_1319
275,piiC_5
276,group_1946
277,group_1440
278,group_147
279,group_1735
280,piiC_2
281,group_614
282,group_84
283,group_620
284,group_2473
285,group_171
286,group_1186
287,ptlG
288,group_2463
289,pilE_3
290,group_970
291,pilE_5
292,group_2389
293,group_4109
294,group_1802
295,group_478
296,group_2139
297,group_1336
298,group_1051
299,group_2440
300,group_1382
301,aplIM_2
302,nagZ
303,pyrI
304,group_437
305,group_2360
306,group_2507
307,group_1449
308,group_1119
309,group_196
310,yjjV
311,group_581
312,group_1337
313,aroF
314,group_1464
315,group_479
316,group_1915
317,group_1879
318,traL
319,group_120
320,group_2338
321,group_1441
322,group_417
323,vsr_2
324,ybaQ
325,group_555
326,lpxD_1
327,ansA
328,group_34
329,group_512
330,group_938
331,group_1487
332,socA
333,group_121
334,bla
335,folP
336,group_2478
337,group_1245
338,pilE1_3
339,mutL_2
340,group_904
341,group_291
342,group_4044
343,group_275
344,pilE1_5
345,group_43
346,group_1285
347,group_1396
348,group_2446
349,group_2443
350,group_2315
351,group_40
352,group_2539
353,group_1994
354,glcA
355,group_1277
356,group_2052
357,group_1038
358,epsE
359,group_1557
360,group_1866
361,group_1756
362,group_4114
363,group_2521
364,group_1494
365,group_354
366,group_2351
367,group_310
368,parA
369,yigL
370,efeB_1
371,group_75
372,group_1335
373,group_1531
374,group_2402
375,group_2365
376,group_1953
377,group_2401
378,group_1086
379,group_181
380,group_50
