,Unnamed: 0,Unnamed: 0.1,Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
0,0,0,group_1024,,Phosphoribosyl transferase domain protein,269,28,29,93,90.26845637583892,76.85950413223141,30.80911330049261,1.4923111746674868e-41,5.254427646004222e-38,1.7514758820014076e-38,14,13,4,0.0018310546875,0.1795654296875
1,1,1,group_1706,,hypothetical protein,269,28,29,93,90.26845637583892,76.85950413223141,30.80911330049261,1.4923111746674868e-41,5.254427646004222e-38,1.7514758820014076e-38,14,13,4,0.0018310546875,0.1795654296875
2,2,2,group_1483,,hypothetical protein,29,93,269,28,9.731543624161072,23.1404958677686,0.0324579286085461,1.4923111746674868e-41,5.254427646004222e-38,1.7514758820014076e-38,14,4,13,0.0018310546875,0.1795654296875
3,3,3,group_2315,,hypothetical protein,51,97,247,24,17.114093959731544,19.83471074380165,0.0510872740932426,2.464225626633072e-34,8.676538431375046e-31,2.169134607843761e-31,16,5,13,0.021270751953125,0.2101135253906249
4,4,4,group_2283,,hypothetical protein,38,87,260,34,12.751677852348994,28.09917355371901,0.0571175950486295,6.94433606149757e-32,2.4451007272532944e-28,4.890201454506589e-29,10,5,6,0.7539062500000002,1.0
5,5,5,group_2316,,Peptidase S24-like protein,58,97,240,24,19.463087248322147,19.83471074380165,0.0597938144329896,1.5939404346359175e-31,5.612264270353066e-28,9.029041338205531e-29,16,6,12,0.076812744140625,0.454498291015625
6,6,6,group_410,,DNA methylase,296,67,2,54,99.32885906040268,44.62809917355372,119.28358208955224,2.0514720450339183e-31,7.223233070564426e-28,9.029041338205531e-29,9,9,1,0.00390625,0.0390625
7,7,7,group_789,,Endonuclease domain protein,296,67,2,54,99.32885906040268,44.62809917355372,119.28358208955224,2.0514720450339183e-31,7.223233070564426e-28,9.029041338205531e-29,9,9,1,0.00390625,0.0390625
8,8,8,group_948,,AAA ATPase domain protein,10,62,288,59,3.355704697986577,48.7603305785124,0.0330421146953405,1.5868593486259158e-29,5.587331766511848e-26,5.0793925150107715e-27,12,4,9,0.14599609375,0.3876953125000001
9,9,9,aplIM_2,,Modification methylase AplI,288,59,10,62,96.64429530201345,51.2396694214876,30.264406779661016,1.5868593486259158e-29,5.587331766511849e-26,5.0793925150107715e-27,12,9,4,0.14599609375,0.3876953125000001
10,10,10,group_1735,,Eco29kI restriction endonuclease,288,59,10,62,96.64429530201345,51.2396694214876,30.264406779661016,1.5868593486259158e-29,5.587331766511849e-26,5.0793925150107715e-27,12,9,4,0.14599609375,0.3876953125000001
11,11,11,group_2004,,hypothetical protein,41,85,257,36,13.758389261744966,29.75206611570248,0.0675669489585717,4.8528775789474165e-29,1.7086981955473856e-25,1.4239151629561546e-26,13,6,10,0.09228515625,1.0
12,12,12,group_357,,hypothetical protein,101,110,197,11,33.89261744966443,9.090909090909092,0.0512690355329949,1.049832013875923e-28,3.6964585208571257e-25,2.843429631428558e-26,16,6,12,0.076812744140625,0.454498291015625
13,13,13,group_1163,,hypothetical protein,278,52,20,69,93.28859060402684,57.02479338842975,18.44423076923077,6.71321322169291e-28,2.3637223753580736e-24,1.6883731252557669e-25,13,8,8,0.5810546875,0.5810546875
14,14,14,group_181,,SIR2-like domain protein,253,36,45,85,84.8993288590604,70.24793388429752,13.274691358024691,2.201433639538988e-27,7.751247844816777e-24,5.167498563211184e-25,14,10,8,0.1795654296875,0.7905273437500004
15,15,15,group_2249,,hypothetical protein,135,116,163,5,45.3020134228188,4.132231404958678,0.0356991749524011,1.7691712610699149e-25,6.2292520102271695e-22,3.893282506391982e-23,5,1,5,0.0625,0.375
16,16,16,group_910,,hypothetical protein,80,98,218,23,26.84563758389261,19.00826446280992,0.0861261935967047,9.250552554390156e-25,3.257119554400774e-21,1.9159526790592788e-22,11,7,7,0.548828125,0.548828125
