Gene,Unnamed: 0,Count,Mean,Std,q1,q2,q3,q4,A,B
group_3200,1,3,0,0,0,0,0,0,3,0
group_1748,2,416,0.001373405,0.001647135,0,0,0.003115265,0.009345794,295,121
trxA,3,419,0.00063255,0.003373785,0,0,0,0.054054054,298,121
group_1352,4,414,0.005607059,0.03028062,0,0.001615509,0.001615509,0.224555735,293,121
group_1575,5,2,0.313421829,0.313421829,0,0.313421829,0.626843658,0.626843658,1,1
glnH,6,438,0.090578285,0.196658693,0,0.001169591,0.001169591,0.983625731,315,123
recX,7,415,0.00114056,0.00150594,0,0,0.002164502,0.017316017,295,120
mtgA,8,416,0.003128757,0.0025701,0,0.002849003,0.004273504,0.00997151,295,121
group_2519,9,61,0.001224573,0.002048722,0,0,0.003236246,0.009708738,12,49
fitA,11,417,2.02E-05,0.000291163,0,0,0,0.004219409,296,121
group_2724,12,4,0,0,0,0,0,0,0,4
group_2103,13,417,0.002218635,0.002312816,0,0,0.00462963,0.00462963,296,121
group_39,14,460,0.188646045,0.243028079,0.002141328,0.038543897,0.409707352,0.917915774,328,132
ypmQ,15,417,0.003563805,0.002208687,0.001529052,0.003058104,0.006116208,0.009174312,296,121
group_302,16,416,0.111046238,0.109650434,0,0.010204082,0.221088435,0.231292517,295,121
cpxA,20,419,0.001499087,0.001122607,0.000710732,0.001421464,0.002132196,0.006396588,298,121
group_1848,21,281,0.000385563,0.001107242,0,0,0,0.008888889,165,116
group_1406,22,416,0.001309666,0.01601278,0,0,0,0.235087719,295,121
fis,24,419,0.000696244,0.001878027,0,0,0,0.0125,298,121
minD,25,416,0.001060818,0.000930068,0,0.00122549,0.00122549,0.003676471,295,121
mlaF,26,417,0.000686495,0.000792872,0,0.001242236,0.001242236,0.008695652,296,121
group_4053,27,419,0.000114378,0.000671051,0,0,0,0.008032129,298,121
group_2824,28,2,0,0,0,0,0,0,2,0
group_2582,29,2,0,0,0,0,0,0,0,2
group_456,31,418,0.010107607,0.062327239,0.00063012,0.001890359,0.005671078,0.968494014,297,121
group_818,32,418,0.004658815,0.011744118,0,0.003401361,0.003401361,0.081632653,297,121
group_399,33,285,0.032459488,0.119089137,0,0.000952381,0.003809524,0.973333333,165,120
narQ,34,419,0.02406663,0.109688533,0.000564972,0.000564972,0.001694915,0.959322034,298,121
norB,35,472,0.208675454,0.29590135,0.001324503,0.002207506,0.465342163,0.997792494,301,171
rpsT,36,418,0.003573255,0.004536272,0,0.003787879,0.003787879,0.022727273,297,121
group_1389,37,418,0.003861862,0.003139068,0.002222222,0.002222222,0.006666667,0.013333333,297,121
rimM,40,419,0.001797219,0.001540341,0,0.001960784,0.001960784,0.009803922,298,121
group_1793,41,418,0.000555684,0.000978725,0,0,0.002123142,0.004246285,297,121
group_3729,42,5,0,0,0,0,0,0,1,4
group_1261,43,423,0.004119279,0.003734608,0,0.003436426,0.006872852,0.013745704,298,125
group_1446,44,3,0.004031242,0.004507066,0,0,0.009070295,0.009070295,3,0
rplI,45,419,0.003611306,0.003239533,0,0.002207506,0.006622517,0.013245033,298,121
group_4013,48,419,5.16E-05,0.00037135,0,0,0,0.005420054,298,121
citN,50,419,0.001081083,0.001085298,0,0.000761035,0.00152207,0.005327245,298,121
group_1708,52,417,0.000408084,0.001144344,0,0,0,0.007017544,296,121
group_1893,53,296,0.000888584,0.002475046,0,0,0,0.015625,188,108
parE,57,416,0.000668026,0.000587278,0.000502765,0.000502765,0.00100553,0.005530417,295,121
